DATA src=/home/user/webapp/data/mt5_full/XAUUSD_H6.csv  n_bars=15,966  span=15.59y
discovery bars=9,579 · bars/day(median)=4
[ 1/16] long_k2.058_rr1.0_hd1        n_sig=  85 n=   85 wr=48.235 lift=-2.779 score=-25.62 (0s)
[ 2/16] long_k2.058_rr1.0_hd2        n_sig=  85 n=   85 wr=48.235 lift=-2.779 score=-25.62 (0s)
[ 3/16] long_k2.058_rr1.5_hd1        n_sig=  85 n=   85 wr=48.235 lift=7.424 score=68.45 (0s)
[ 4/16] long_k2.058_rr1.5_hd2        n_sig=  85 n=   85 wr=45.882 lift=5.071 score=46.75 (0s)
[ 5/16] long_k3.141_rr1.0_hd1        n_sig=  85 n=   85 wr=48.235 lift=-2.429 score=-22.4 (0s)
[ 6/16] long_k3.141_rr1.0_hd2        n_sig=  85 n=   85 wr=45.882 lift=-4.782 score=-44.09 (0s)
[ 7/16] long_k3.141_rr1.5_hd1        n_sig=  85 n=   85 wr=48.235 lift=7.704 score=71.02 (0s)
[ 8/16] long_k3.141_rr1.5_hd2        n_sig=  85 n=   85 wr=45.882 lift=5.351 score=49.33 (0s)
[ 9/16] short_k2.058_rr1.0_hd1       n_sig=  85 n=   85 wr=49.412 lift=-1.602 score=-14.77 (0s)
[10/16] short_k2.058_rr1.0_hd2       n_sig=  85 n=   85 wr=45.882 lift=-5.132 score=-47.31 (0s)
[11/16] short_k2.058_rr1.5_hd1       n_sig=  85 n=   85 wr=49.412 lift=8.6 score=79.29 (0s)
[12/16] short_k2.058_rr1.5_hd2       n_sig=  85 n=   85 wr=45.882 lift=5.071 score=46.75 (0s)
[13/16] short_k3.141_rr1.0_hd1       n_sig=  85 n=   85 wr=49.412 lift=-1.253 score=-11.55 (0s)
[14/16] short_k3.141_rr1.0_hd2       n_sig=  85 n=   85 wr=48.235 lift=-2.429 score=-22.4 (0s)
[15/16] short_k3.141_rr1.5_hd1       n_sig=  85 n=   85 wr=49.412 lift=8.88 score=81.87 (0s)
[16/16] short_k3.141_rr1.5_hd2       n_sig=  85 n=   85 wr=48.235 lift=7.704 score=71.02 (0s)

LOCKED -> results/_scan_S1942/lock_XAUUSD-H6.json
{
  "layer": "S1942",
  "tf": "H6",
  "split_bar": 9579,
  "n_bars": 15966,
  "src": "/home/user/webapp/data/mt5_full/XAUUSD_H6.csv",
  "bpd": 4,
  "criterion": "max lift*sqrt(n) | both arms | n>=60 & net>0 & power lift*sqrt(n)>=78.0",
  "best_key": null,
  "best": null,
  "best_unpowered": {
    "key": "short_k3.141_rr1.5_hd2",
    "n": 85,
    "wr": 48.235,
    "net": 524.7,
    "sl_med": 248.3,
    "be": 40.532,
    "lift": 7.704,
    "score": 71.02
  },
  "score": 71.02,
  "power_ok": false
}
